"item_no","item_description","vendor_name","proof","case_cost","pack"
904995,"Calle Azul De Agave Anejo","Sazerac Co. Inc.","80","119.94",12
3438,"Tequila Avion Counter Unit","Pernod Ricard Usa/austin Nichols","80","23.30",4
964018,"Agave Loco","Mhw Ltd","71","106.00",6
967032,"Tanteo Jalapeno","Park Street Imports-tanteo","80","118.61",6
967757,"Patron XO Cafe","The Patron Spirits Company","80","82.10",12
3566,"Patron Tequila Three Pack","The Patron Spirits Company","80","155.04",4
987083,"Alien Tequila Silver","Alien Tequila Spirits Company","80","143.28",6
987256,"Cabrito Blanco Tequila","Phillips Beverage Company","80","131.80",12
987266,"Casa Noble Crystal(blanco)","Constellation Wine Company Inc.","80","120.00",6
987280,"Casamigos Blanco","Sidney Frank Importing Co.","40","161.00",6
987316,"Centinela Blanco Tequila","Phillips Beverage Company","80","135.80",6
987401,"Jose Cuervo Especial Silver","Proximo","80","137.99",120
987406,"Jose Cuervo Platino Reserva De La Familia","Proximo","80","179.97",6
987416,"Jose Cuervo Tradicional Silver","Proximo","80","131.95",12
987507,"1800 Silver Tequila","Proximo","80","112.00",24
987509,"1800 Silver Tequila","Proximo","80","101.94",12
987513,"1800 Silver Tequila","Proximo","80","147.00",6
987607,"El Toro Silver","Sazerac North America","80","78.75",12
987608,"El Toro Silver","Sazerac North America","80","75.40",12
987619,"Espolon Tequila Blanco","Campari(skyy)","80","80.94",6
987640,"Familia Camarena Silver Mini","E And J Gallo Winery","80","59.94",6
987756,"Gran Centenario Tenampa Azul Silver DNO","Proximo","80","130.94",12
987862,"IXA Tequila","Modern Spirits","80","136.00",6
987868,"Jarana Blanco Tequila","Mhw Ltd","80","89.88",12
987945,"Kah Tequila Blanco Mini","Aveniu Brands","80","233.00",48
987946,"Kah Tequila Blanco","Aveniu Brands","80","150.00",6
988017,"Lunazul Blanco Mini","Heaven Hill Distilleries Inc.","80","64.00",6
988018,"Lunazul Blanco Tequila","Heaven Hill Distilleries Inc.","80","118.00",12
988037,"Margaritaville Silver Tequila","Monsieur Henri Wines Ltd.","80","94.00",12
988152,"901 Tequila HA","Jim Beam Brands","80","94.44",6
988406,"Patron Roca Silver","The Patron Spirits Company","90","210.00",6
988536,"Sauza Blue Silver","Jim Beam Brands","80","125.84",12
988545,"Giro Tequila Silver","Jim Beam Brands","80","80.09",12
988582,"Silvercoin Tequila","Santa Fe Tequila Company","80","121.25",6
988804,"Patron Roca Anejo","The Patron Spirits Company","88","270.00",6
988805,"Patron Roca Reposado","The Patron Spirits Company","84","240.00",6
988858,"Wild Shot Silver Tequila","Shaw Ross International Importers Ll","87","163.51",6
989011,"El Toro Gold","Sazerac North America","80","78.75",12
989033,"Avion Anejo","Pernod Ricard Usa/austin Nichols","80","131.88",12
989035,"Avion Reposado","Pernod Ricard Usa/austin Nichols","80","125.88",12
989079,"Gran Centenario Tenampa Azul Reposado DNO","Proximo","80","130.94",12
